"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Harbour","On Bounty","Marble","-","3.96%","Scruffy",303
"Harbour","On Bounty","Marble","-","3.96%","White",303
"Harbour","On Bounty","Marble","-","3.63%","Brown",303
"Harbour","On Bounty","Marble","-","3.63%","Bionic",303
"Harbour","On Bounty","Marble","-","3.30%","Granite",303
"Harbour","On Bounty","Marble","-","3.30%","Dwarf",303
"Harbour","On Bounty","Marble","-","3.30%","Grey",303
"Harbour","On Bounty","Marble","-","2.64%","Steel",303
"Harbour","On Bounty","Marble","-","2.64%","Diamond",303
"Harbour","On Bounty","Marble","-","1.98%","Gold",303
"Harbour","On Bounty","Marble","-","1.65%","Pugilist",303
"Harbour","On Bounty","White Cheddar","-","12.26%","Pirate",873
"Harbour","On Bounty","White Cheddar","-","12.03%","Corrupt Commodore",873
"Harbour","On Bounty","White Cheddar","-","11.91%","Dashing Buccaneer",873
"Harbour","On Bounty","White Cheddar","-","11.11%","Bilged Boatswain",873
"Harbour","On Bounty","White Cheddar","-","11.00%","Cabin Boy",873
"Harbour","On Bounty","White Cheddar","-","11.00%","Barmy Gunner",873
"Harbour","On Bounty","White Cheddar","-","5.96%","Scruffy",873
"Harbour","On Bounty","White Cheddar","-","5.27%","Dwarf",873
"Harbour","On Bounty","White Cheddar","-","4.47%","Bionic",873
"Harbour","On Bounty","White Cheddar","-","4.35%","Granite",873
"Harbour","On Bounty","White Cheddar","-","3.32%","Steel",873
"Harbour","On Bounty","White Cheddar","-","2.63%","Pugilist",873
"Harbour","On Bounty","White Cheddar","-","2.41%","Diamond",873
"Harbour","On Bounty","White Cheddar","-","2.29%","Gold",873
