"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Toxic Spill","Duke/Duchess","Magical Rancid Radioactive Blue","-","1.25%","Mutated Siblings",4164
"Toxic Spill","Duke/Duchess","Magical Rancid Radioactive Blue","-","1.18%","Plague Hag",4164
"Toxic Spill","Duke/Duchess","Magical Rancid Radioactive Blue","-","1.10%","Telekinetic Mutant",4164
"Toxic Spill","Duke/Duchess","Magical Rancid Radioactive Blue","-","1.10%","Mutant Ninja",4164
"Toxic Spill","Duke/Duchess","Magical Rancid Radioactive Blue","-","1.08%","Spore",4164
"Toxic Spill","Duke/Duchess","Magical Rancid Radioactive Blue","-","1.01%","Scrap Metal Monster",4164
"Toxic Spill","Duke/Duchess","Magical Rancid Radioactive Blue","-","0.96%","Sludge Soaker",4164
"Toxic Spill","Duke/Duchess","Magical Rancid Radioactive Blue","-","0.89%","Swamp Runner",4164
"Toxic Spill","Duke/Duchess","Magical Rancid Radioactive Blue","-","0.86%","Gelatinous Octahedron",4164
"Toxic Spill","Duke/Duchess","Magical Rancid Radioactive Blue","-","0.74%","Bog Beast",4164
"Toxic Spill","Duke/Duchess","Magical Rancid Radioactive Blue","-","0.10%","Glitchpaw",4164
"Toxic Spill","Grand Duke/Grand Duchess","Rancid Radioactive Blue","-","10.16%","Mutant Mongrel",19662
"Toxic Spill","Grand Duke/Grand Duchess","Rancid Radioactive Blue","-","9.11%","Toxic Warrior",19662
"Toxic Spill","Grand Duke/Grand Duchess","Rancid Radioactive Blue","-","8.97%","Mutant Ninja",19662
"Toxic Spill","Grand Duke/Grand Duchess","Rancid Radioactive Blue","-","8.92%","The Menace",19662
"Toxic Spill","Grand Duke/Grand Duchess","Rancid Radioactive Blue","-","8.92%","Outbreak Assassin",19662
"Toxic Spill","Grand Duke/Grand Duchess","Rancid Radioactive Blue","-","8.83%","Sludge Swimmer",19662
"Toxic Spill","Grand Duke/Grand Duchess","Rancid Radioactive Blue","-","8.73%","Telekinetic Mutant",19662
"Toxic Spill","Grand Duke/Grand Duchess","Rancid Radioactive Blue","-","8.60%","Slimefist",19662
"Toxic Spill","Grand Duke/Grand Duchess","Rancid Radioactive Blue","-","6.71%","Sludge Soaker",19662
"Toxic Spill","Grand Duke/Grand Duchess","Rancid Radioactive Blue","-","6.26%","Biohazard",19662
